"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2021-06-30","'36296MGH5'","MBS","GNMA I 4.5% 04/39","30yr",,,,,"1093.91",,,,,,""
"2021-06-30","'3128PKQA5'","MBS","FHLMCGLD 5% 04/23","15yr",,,,,"1092.26",,,,,,""
"2021-06-30","'36291XAX7'","MBS","GNMA I MORTPASS 5% 05/35","30yr",,,,,"1081.26",,,,,,""
"2021-06-30","'3128PK6K5'","MBS","FHLMCGLD 5.5% 06/23","15yr",,,,,"1078.35",,,,,,""
"2021-06-30","'36294NBK3'","MBS","GNMA I MORTPASS 5% 04/38","30yr",,,,,"1072.51",,,,,,""
"2021-06-30","'36291GX84'","MBS","GNMA I MORTPASS 5% 05/34","30yr",,,,,"1067.35",,,,,,""
"2021-06-30","'31388ARS5'","MBS","UMBS MORTPASS 6% 12/31","30yr",,,,,"1066.12",,,,,,""
"2021-06-30","'3131X5Y55'","MBS","UMBS MORTPASS 3.5% 09/25","15yr",,,,,"1064.36",,,,,,""
"2021-06-30","'36292ERH5'","MBS","GNMA I MORTPASS 5% 07/35","30yr",,,,,"1053.52",,,,,,""
"2021-06-30","'31417NCL3'","MBS","UMBS MORTPASS 4.5% 10/24","15yr",,,,,"1046.5",,,,,,""
"2021-06-30","'36210ARS8'","MBS","GNMA I MORTPASS 6% 10/28","30yr",,,,,"1045.24",,,,,,""
"2021-06-30","'3128MCGG4'","MBS","FHLMCGLD 4% 06/24","15yr",,,,,"1033.13",,,,,,""
"2021-06-30","'31406PGD5'","MBS","UMBS MORTPASS 5% 03/35","30yr",,,,,"1032.78",,,,,,""
"2021-06-30","'3128LDSZ8'","MBS","FHLMCGLD 6% 07/38","30yr",,,,,"1028.15",,,,,,""
"2021-06-30","'3128L1V64'","MBS","FHLMCGLD 6% 12/37","30yr",,,,,"1025.49",,,,,,""
"2021-06-30","'31417Y3M7'","MBS","UMBS MORTPASS 3% 07/21","Other",,,,,"1024.5",,,,,,""
"2021-06-30","'36295W7A9'","MBS","GNMA I MORTPASS 6% 01/38","30yr",,,,,"1023.96",,,,,,""
"2021-06-30","'36296FMF7'","MBS","GNMA I MORTPASS 6% 09/38","30yr",,,,,"1021.85",,,,,,""
"2021-06-30","'36290RXT5'","MBS","GNMA I 4.5% 08/33","30yr",,,,,"1009.87",,,,,,""
"2021-06-30","'3138ERVW7'","MBS","UMBS MORTPASS 3.5% 02/24","Other",,,,,"993.5",,,,,,""
"2021-06-30","'31418DKS0'","MBS","UMBS MORTPASS 4% 09/21","Other",,,,,"991.36",,,,,,""
"2021-06-30","'31412XVK7'","MBS","UMBS MORTPASS 4% 07/22","15yr",,,,,"966.04",,,,,,""
"2021-06-30","'36295WLF2'","MBS","GNMA I MORTPASS 5% 07/38","30yr",,,,,"962.16",,,,,,""
"2021-06-30","'36290NAN2'","MBS","GNMA I MORTPASS 5% 07/33","30yr",,,,,"962.05",,,,,,""
"2021-06-30","'36203PAT0'","MBS","GNMA I MORTPASS 6% 01/24","30yr",,,,,"952.08",,,,,,""
"2021-06-30","'31418AAF5'","MBS","UMBS MORTPASS 3.5% 11/21","Other",,,,,"937.5",,,,,,""
"2021-06-30","'36291GXL5'","MBS","GNMA I MORTPASS 5% 05/34","30yr",,,,,"930.54",,,,,,""
"2021-06-30","'3128MDPM9'","MBS","FHLMCGLD 3.5% 11/21","15yr",,,,,"928.57",,,,,,""
"2021-06-30","'36290N5N8'","MBS","GNMA I 4.5% 08/33","30yr",,,,,"921.33",,,,,,""
"2021-06-30","'36213U3W8'","MBS","GNMA I 5.5% 08/37","30yr",,,,,"921.26",,,,,,""
"2021-06-30","'31329KA53'","MBS","UMBS MORTPASS 4.5% 04/24","Other",,,,,"920.87",,,,,,""
"2021-06-30","'3128MFHG6'","MBS","FHLMCGLD 4% 12/28","15yr",,,,,"920.22",,,,,,""
"2021-06-30","'36291TSY5'","MBS","GNMA I MORTPASS 5% 02/35","30yr",,,,,"919.28",,,,,,""
"2021-06-30","'36291GYC4'","MBS","GNMA I MORTPASS 5% 05/34","30yr",,,,,"916.35",,,,,,""
"2021-06-30","'31417Y3P0'","MBS","UMBS MORTPASS 4% 07/21","Other",,,,,"910.12",,,,,,""
"2021-06-30","'36295YZF3'","MBS","GNMA I 5.5% 04/38","30yr",,,,,"909.82",,,,,,""
"2021-06-30","'31412TT86'","MBS","UMBS MORTPASS 4% 08/23","15yr",,,,,"900.84",,,,,,""
"2021-06-30","'31406UKJ6'","MBS","UMBS MORTPASS 5% 08/35","30yr",,,,,"885.55",,,,,,""
"2021-06-30","'3128PMJV3'","MBS","FHLMCGLD 4.5% 02/24","15yr",,,,,"883.89",,,,,,""
"2021-06-30","'36294QEX5'","MBS","GNMA I 5.5% 12/36","30yr",,,,,"877.03",,,,,,""
"2021-06-30","'3128P7DN0'","MBS","FHLMCGLD 5% 11/26","Other",,,,,"871.38",,,,,,""
"2021-06-30","'36290XHP8'","MBS","GNMA I MORTPASS 5% 08/33","30yr",,,,,"870.36",,,,,,""
"2021-06-30","'36200CBR5'","MBS","GNMA I 5.5% 01/33","30yr",,,,,"866.29",,,,,,""
"2021-06-30","'3128MBWE3'","MBS","FHLMCGLD 5.5% 04/23","15yr",,,,,"864.32",,,,,,""
"2021-06-30","'3131X66S4'","MBS","UMBS MORTPASS 3% 09/21","Other",,,,,"863.28",,,,,,""
"2021-06-30","'3128PMPP9'","MBS","FHLMCGLD 4.5% 03/24","15yr",,,,,"855.82",,,,,,""
"2021-06-30","'31416LPQ3'","MBS","UMBS MORTPASS 5.5% 02/39","30yr",,,,,"854.71",,,,,,""
"2021-06-30","'3131X67G9'","MBS","UMBS MORTPASS 3% 10/21","Other",,,,,"854.09",,,,,,""
"2021-06-30","'3140J6BY2'","MBS","UMBS MORTPASS 3.5% 08/22","Other",,,,,"852.55",,,,,,""
"2021-06-30","'3128PEUJ5'","MBS","FHLMCGLD 5% 08/21","15yr",,,,,"850.5",,,,,,""
"2021-06-30","'36176HF33'","MBS","GNMA I MORTPASS 4% 07/41","30yr",,,,,"845.95",,,,,,""
"2021-06-30","'3620ABFH4'","MBS","GNMA I MORTPASS 4% 09/41","30yr",,,,,"836.7",,,,,,""
"2021-06-30","'36292ECH1'","MBS","GNMA I MORTPASS 6% 01/38","30yr",,,,,"834.26",,,,,,""
"2021-06-30","'36295GN65'","MBS","GNMA I MORTPASS 6% 07/37","30yr",,,,,"829.58",,,,,,""
"2021-06-30","'31411RFF0'","MBS","UMBS MORTPASS 5.5% 02/37","30yr",,,,,"828.82",,,,,,""
"2021-06-30","'31417YB48'","MBS","UMBS MORTPASS 5.5% 04/29","Other",,,,,"828.63",,,,,,""
"2021-06-30","'36201VMH2'","MBS","GNMA I MORTPASS 5% 08/33","30yr",,,,,"826.38",,,,,,""
"2021-06-30","'36202DUS8'","MBS","GNMA II 4.5% 07/32","30yr",,,,,"826.37",,,,,,""
"2021-06-30","'31413MF77'","MBS","UMBS MORTPASS 5% 08/22","15yr",,,,,"826.11",,,,,,""
"2021-06-30","'31306YAJ0'","MBS","FHLMCGLD 3.5% 10/22","15yr",,,,,"825.28",,,,,,""
"2021-06-30","'3138EMQN4'","MBS","UMBS MORTPASS 4% 05/23","Other",,,,,"825.21",,,,,,""
"2021-06-30","'31402JYY7'","MBS","UMBS MORTPASS 5% 08/33","30yr",,,,,"815.18",,,,,,""
"2021-06-30","'3128MCAX3'","MBS","FHLMCGLD 5.5% 08/23","15yr",,,,,"812.96",,,,,,""
"2021-06-30","'36290S6X4'","MBS","GNMA I MORTPASS 5% 08/34","30yr",,,,,"812.47",,,,,,""
"2021-06-30","'3128PPL50'","MBS","FHLMCGLD 4.5% 07/24","15yr",,,,,"810.45",,,,,,""
"2021-06-30","'31405SFJ8'","MBS","UMBS MORTPASS 5% 10/35","30yr",,,,,"810.3",,,,,,""
"2021-06-30","'36295YVL4'","MBS","GNMA I 5.5% 03/38","30yr",,,,,"807.32",,,,,,""
"2021-06-30","'31371K2X8'","MBS","UMBS MORTPASS 5.5% 04/23","Other",,,,,"806.37",,,,,,""
"2021-06-30","'36291FXN3'","MBS","GNMA I MORTPASS 5% 04/34","30yr",,,,,"806.03",,,,,,""
"2021-06-30","'3128MBVK0'","MBS","FHLMCGLD 4.5% 04/23","15yr",,,,,"791.52",,,,,,""
"2021-06-30","'36200NAC5'","MBS","GNMA I 5.5% 01/34","30yr",,,,,"790.9",,,,,,""
"2021-06-30","'31415CMY0'","MBS","UMBS MORTPASS 4.5% 05/23","15yr",,,,,"789.67",,,,,,""
"2021-06-30","'3128MBQ75'","MBS","FHLMCGLD 5.5% 12/22","15yr",,,,,"786.08",,,,,,""
"2021-06-30","'36200AE39'","MBS","GNMA I 5.5% 11/32","30yr",,,,,"782.91",,,,,,""
"2021-06-30","'3128PPLM3'","MBS","FHLMCGLD 4.5% 07/24","15yr",,,,,"778.98",,,,,,""
"2021-06-30","'36200NJ69'","MBS","GNMA I MORTPASS 5% 04/34","30yr",,,,,"774.56",,,,,,""
"2021-06-30","'36291DYR8'","MBS","GNMA I 5.5% 10/35","30yr",,,,,"768.54",,,,,,""
"2021-06-30","'36202EQK8'","MBS","GNMA II MORTPASS 5% 12/37","30yr",,,,,"767.83",,,,,,""
"2021-06-30","'36296QPP8'","MBS","GNMA I 5.5% 01/39","30yr",,,,,"762.51",,,,,,""
"2021-06-30","'36295FJQ8'","MBS","GNMA I 5.5% 06/37","30yr",,,,,"752.6",,,,,,""
"2021-06-30","'36291FG44'","MBS","GNMA I MORTPASS 5% 02/35","30yr",,,,,"749.05",,,,,,""
"2021-06-30","'36201P6R1'","MBS","GNMA I 5.5% 11/32","30yr",,,,,"746.96",,,,,,""
"2021-06-30","'31298HT65'","MBS","FHLMCGLD 6% 03/31","30yr",,,,,"746.36",,,,,,""
"2021-06-30","'36290T4W6'","MBS","GNMA I MORTPASS 5% 03/37","30yr",,,,,"743.35",,,,,,""
"2021-06-30","'3128PGBS1'","MBS","FHLMCGLD 4.5% 03/22","15yr",,,,,"740.01",,,,,,""
"2021-06-30","'36200KT49'","MBS","GNMA I MORTPASS 5% 05/33","30yr",,,,,"716.48",,,,,,""
"2021-06-30","'3128PKPT5'","MBS","FHLMCGLD 5% 04/23","15yr",,,,,"706.77",,,,,,""
"2021-06-30","'3620AVMP4'","MBS","GNMA I MORTPASS 4% 10/40","30yr",,,,,"706.58",,,,,,""
"2021-06-30","'31371MQE0'","MBS","UMBS MORTPASS 5.5% 03/26","Other",,,,,"698.12",,,,,,""
"2021-06-30","'36200MTF0'","MBS","GNMA I MORTPASS 5% 08/33","30yr",,,,,"695.14",,,,,,""
"2021-06-30","'3128MB4Y0'","MBS","FHLMCGLD 5.5% 12/23","15yr",,,,,"680.56",,,,,,""
"2021-06-30","'31287RXR5'","MBS","FHLMCGLD 6.5% 04/32","30yr",,,,,"669.77",,,,,,""
"2021-06-30","'31415CAN7'","MBS","UMBS MORTPASS 5% 06/23","15yr",,,,,"669.43",,,,,,""
"2021-06-30","'36295UCZ2'","MBS","GNMA I 5.5% 12/37","30yr",,,,,"669.29",,,,,,""
"2021-06-30","'31418ADG0'","MBS","UMBS MORTPASS 4% 02/22","Other",,,,,"664.37",,,,,,""
"2021-06-30","'3128MBHN0'","MBS","FHLMCGLD 5.5% 08/22","15yr",,,,,"662.79",,,,,,""
"2021-06-30","'36296VE20'","MBS","GNMA I MORTPASS 6% 12/38","30yr",,,,,"661.44",,,,,,""
"2021-06-30","'3128PL5W8'","MBS","FHLMCGLD 5.5% 11/23","15yr",,,,,"650.24",,,,,,""
"2021-06-30","'36294YPC2'","MBS","GNMA I MORTPASS 6% 02/37","30yr",,,,,"649.37",,,,,,""
"2021-06-30","'36295HKU3'","MBS","GNMA I MORTPASS 6% 07/37","30yr",,,,,"646.86",,,,,,""
"2021-06-30","'31412TAX1'","MBS","UMBS MORTPASS 6.5% 05/38","30yr",,,,,"644.02",,,,,,""
"2021-06-30","'31415Q2A3'","MBS","UMBS MORTPASS 5% 08/23","15yr",,,,,"642.33",,,,,,""
"2021-06-30","'3128MCB46'","MBS","FHLMCGLD 5.5% 07/22","15yr",,,,,"639.05",,,,,,""
"2021-06-30","'36296RHC4'","MBS","GNMA I MORTPASS 5% 12/38","30yr",,,,,"636.32",,,,,,""
"2021-06-30","'3128MBMP9'","MBS","FHLMCGLD 4.5% 10/22","15yr",,,,,"635.02",,,,,,""
"2021-06-30","'36297AA94'","MBS","GNMA I MORTPASS 5% 01/39","30yr",,,,,"631.63",,,,,,""
"2021-06-30","'36212XJH9'","MBS","GNMA I MORTPASS 4% 04/40","30yr",,,,,"630.15",,,,,,""
"2021-06-30","'36297AZ30'","MBS","GNMA I MORTPASS 6% 12/38","30yr",,,,,"628.21",,,,,,""
"2021-06-30","'36290RFN8'","MBS","GNMA I MORTPASS 5% 12/33","30yr",,,,,"626.32",,,,,,""
"2021-06-30","'3128PFUT0'","MBS","FHLMCGLD 5.5% 01/22","15yr",,,,,"620.52",,,,,,""
