GNR 2002-054 , 1 , 0.12598916262642257 , 0.1257178783248989 , 0.12307409856842433 , 0.1229776295166154 , 0.0032880568965347745 , 0.003090558632603324
GNR 2002-054 , 2 , 0.14688464271627188 , 0.14535760986179558 , 0.13472977897922367 , 0.13460446958674688 , 0.013880166411057271 , 0.012277736355826518
GNR 2002-055 , 1 , 0.12942055077340953 , 0.12882040077853818 , 0.12521611094826068 , 0.12507042197204532 , 0.004753093831016186 , 0.0042386699475092104
GNR 2002-059 , 1 , 0.14063826594978546 , 0.13942556552921814 , 0.12952209204764564 , 0.1293667908290559 , 0.012624283575298323 , 0.011421486444775253
GNR 2002-060 , 1 , 0.12816505529019595 , 0.12783759990309673 , 0.12484051288514475 , 0.12472212975805241 , 0.003756876971160561 , 0.003520175422514038
GNR 2002-060 , 2 , 0.22386939841281395 , 0.21784649740961948 , 0.1738877606117275 , 0.17343754181331883 , 0.05957341656344406 , 0.052902107836474754
GNR 2002-060 , 3 , 0.14808253340007538 , 0.14653349429006468 , 0.1356760067501347 , 0.1355524818719881 , 0.01418180071583941 , 0.012550545977320415
GNR 2002-060 , 6 , 0.13298578685724227 , 0.13234143906431517 , 0.12731670942120976 , 0.12719570235994926 , 0.006423056510122427 , 0.005829352910651453
GNR 2002-063 , 1 , 0.14238584148425693 , 0.14149669758260497 , 0.13521519009854 , 0.13507877796532086 , 0.008192431426290114 , 0.0073313434970904146
GNR 2002-063 , 2 , 0.11386051235960826 , 0.11376701969607139 , 0.11229309283794453 , 0.11221341613745561 , 0.0017482690098815645 , 0.0017327162613055558
GNR 2002-063 , 3 , 0.11268000399710287 , 0.11261703031802106 , 0.11214982135675644 , 0.11208814331792316 , 0.000591264716994222 , 0.0005897822445946055
GNR 2002-065 , 1 , 0.12429109538817817 , 0.12384282153107395 , 0.1192814568332804 , 0.11922243646341801 , 0.00562839143090943 , 0.005190730224367002
GNR 2002-065 , 2 , 0.17833879639359795 , 0.17826982003560754 , 0.17788468924013578 , 0.17781680764720476 , 0.0005434235418755318 , 0.0005420724171174562
GNR 2002-065 , 3 , 0.14443989229626297 , 0.14341171061702762 , 0.13647245486702508 , 0.1363306688963336 , 0.009114955312007567 , 0.008099629442817391
GNR 2002-067 , 2 , 0.13267642313700678 , 0.13250655978651604 , 0.1306687154426669 , 0.13050513058100854 , 0.002282719881440576 , 0.002275188797440042
GNR 2002-067 , 3 , 0.14510034734225474 , 0.1439414566830951 , 0.13609423243207497 , 0.13594909110977316 , 0.010299161792797329 , 0.009138396117108427
GNR 2002-069 , 1 , 0.1369629648572196 , 0.13623872229841483 , 0.13093566407617752 , 0.13081486852832847 , 0.006855008880747304 , 0.006167883582113731
GNR 2002-069 , 3 , 0.15748346491540666 , 0.15347218417084352 , 0.12860913700362475 , 0.12854274662078025 , 0.03276368822762732 , 0.028284759834826145
